,Solver,Instance,Result,Real time,CPU time,SolvingTime_total,WaitingTime_total
7120,DPS-Kissat-non-det,instances/sc2021/main/ak128paralparalisc,unsat,1722.5,109465.2,109398.78688,0.0
7121,DPS-Kissat-non-det,instances/sc2021/main/b2005-p1-12x12c10h7-Ser5-0,-,5001.0,320428.9,320207.566375,0.0
7122,DPS-Kissat-non-det,instances/sc2021/main/Mycielski-11-hints-4,unsat,160.2,8738.7,8554.733206,0.0
7123,DPS-Kissat-non-det,instances/sc2021/main/quad_res_r33_m36,-,5001.0,319974.9,320009.755546,0.0
7124,DPS-Kissat-non-det,instances/sc2021/main/Mycielski-10-hints-10,unsat,42.8,1608.6,1542.083766,0.0
7125,DPS-Kissat-non-det,instances/sc2021/main/spg_200_316,unsat,43.8,2305.9,2146.118951,0.0
7126,DPS-Kissat-non-det,instances/sc2021/main/sted5_0x1e3-20,sat,735.7,46844.9,46871.497511,0.0
7127,DPS-Kissat-non-det,instances/sc2021/main/prime_a22_b22,sat,14.4,870.9,868.582365,0.0
7128,DPS-Kissat-non-det,instances/sc2021/main/20-100-lambda100-65_sat,sat,33.3,2050.0,2026.480844,0.0
7129,DPS-Kissat-non-det,instances/sc2021/main/MVD_ADS_S4_5_5,unsat,3.6,96.7,11.260626,0.0
7130,DPS-Kissat-non-det,instances/sc2021/main/SC21_Timetable_C_181_E_34_Cl_12_S_4,-,5001.0,318959.8,320000.049026,0.0
7131,DPS-Kissat-non-det,instances/sc2021/main/satch2ways12u,unsat,9.9,594.2,591.471158,0.0
7132,DPS-Kissat-non-det,instances/sc2021/main/Circuit_multiplier26,sat,978.1,62100.0,62126.301169,0.0
7133,DPS-Kissat-non-det,instances/sc2021/main/ctl_4291_567_1_unsat,unsat,239.8,15113.4,15108.308109,0.0
7134,DPS-Kissat-non-det,instances/sc2021/main/ex065_25,sat,181.9,11292.1,11269.878028,0.0
7135,DPS-Kissat-non-det,instances/sc2021/main/blocks-blocks-36-0.180-SAT,sat,85.4,2616.5,2248.359817,0.0
7136,DPS-Kissat-non-det,instances/sc2021/main/2bitcomp_5.hg_20,sat,4425.1,276305.5,276130.167235,0.0
7137,DPS-Kissat-non-det,instances/sc2021/main/sted6_0x1e3-97,sat,29.1,1797.0,1797.365025,0.0
7138,DPS-Kissat-non-det,instances/sc2021/main/string_compare_safety_cbmc_unwinding_600,unsat,780.5,30776.0,30271.490479,0.0
7139,DPS-Kissat-non-det,instances/sc2021/main/at-least-two-traffic_b_unsat,unsat,90.2,5242.6,5153.619694,0.0
